    1     2     3
    2     5     1
    3     7     5
    4    10     4
    5    13     5
    6    15     1
    7    17     3
    8    19     2
    9    23     3
   10    27     2
   11    31     5
   12    34     4
   13    35     3
   14    37     2
   15    40     1
   16    44     2
   17    48     4
   18    50     3
   19    54     5
   20    58     5
   21    62     2
   22    65     4
   23    67     5
   24    69     2
   25    71     4
   26    75     5
   27    78     3
   28    80     5
   29    84     2
   30    86     4
   31    87     1
   32    90     3
   33    91     2
   34    92     3
   35    93     4
   36    96     1
   37    99     5
   38   102     1
   39   105     2
   40   107     4
   41   109     4
   42   110     5
   43   111     1
   44   114     2
   45   118     4
   46   119     5
   47   122     4
   48   124     4
   49   127     3
   50   129     2
   51   131     1
   52   135     4
   53   136     1
   54   138     2
   55   140     2
   56   142     1
   57   143     3
   58   146     5
   59   148     4
   60   150     3
   61   153     1
   62   155     2
   63   159     3
   64   163     5
   65   167     3
   66   170     1
   67   172     5
   68   175     1
   69   179     2
   70   183     3
   71   185     3
   72   187     4
   73   189     5
   74   191     4
   75   193     4
   76   196     2
   77   199     1
   78   201     4
   79   202     2
   80   205     1
   81   208     5
   82   209     3
   83   210     4
   84   214     2
   85   217     1
   86   221     2
   87   224     1
   88   225     2
   89   226     5
   90   227     5
   91   229     5
   92   231     5
   93   234     4
   94   235     4
   95   239     3
   96   240     4
   97   241     4
   98   245     2
   99   248     3
  100   250     5
  101   252     2
  102   256     2
  103   257     5
  104   261     2
  105   264     4
  106   265     4
  107   266     5
  108   268     3
  109   272     1
  110   274     4
  111   278     3
  112   281     4
  113   282     1
  114   285     4
  115   286     2
  116   289     2
  117   291     4
  118   293     3
  119   294     3
  120   297     3
  121   300     5
